Ligand	Mode of Action	Signaling	Functional classification	Functional.sub.classification	Gene.Family
IFNB1	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNE	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNG	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type II Interferons
IFNK	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNW1	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IL10	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-10 Family
IL11	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-6 Family
IL12AB	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-12 Family
IL13	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	Other Interleukins
IL15	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-2 Family
IL16	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	Other Interleukins
IL17A	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-17 Family
IL17AF	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-17 Family
IL17B	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-17 Family
IL17C	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-17 Family
IL17F	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-17 Family
IL18	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-1 Family
IL19	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-10 Family
IL1A	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-1 Family
IL1B	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-1 Family
IL1F10	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-1 Family
IL2	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-2 Family
IL20	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-10 Family
IL21	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-2 Family
IL22	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-10 Family
IL23 complex	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-12 Family
IL24	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-10 Family
IL25	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-17 Family
IL26	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-10 Family
IL27 complex	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-12 Family
IL3	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	Other Interleukins
IL31	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-6 Family
IL33	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-1 Family
IL34	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	Interleukin family
IL36A	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-1 Family
IL36B	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-1 Family
IL36G	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-1 Family
IL36RN	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-1 Family
IL37	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-1 Family
IL4	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-2 Family
IL5	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	Other Interleukins
IL6	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-6 Family
IL7	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-2 Family
IL9	Secreted Signaling	Growth Factors & Cytokines	Interleukins	Interleukins	IL-2 Family
ESAM	Cell-Cell Contact	CAM	Junctional Adhesion	Junctional Adhesion Proteins	-
JAM2	Cell-Cell Contact	CAM	Junctional Adhesion	Junctional Adhesion Proteins	Ig Superfamily
JAM3	Cell-Cell Contact	CAM	Junctional Adhesion	Junctional Adhesion Proteins	Ig Superfamily
LAMA1	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
LAMA2	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
LAMA3	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
LAMA4	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
LAMA5	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
LAMB1	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
LAMB2	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
LAMB3	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
LAMC1	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
LAMC2	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
